rating|TriggerEvent|ChangedValues|155|0|99999999.99999->20150903.54732||99999999.99999->20150903.57512||99999999.99999->20150904.38111||99999999.99999->20150908.44194||99999999.99999->20150908.45555||99999999.99999->20150909.4065||99999999.99999->20150910.19598|
rating|TriggerEvent|Handled|160|0|07/09/2015 08:51:08.087|07/09/2015 08:51:08.102|07/09/2015 08:51:08.140|08/09/2015 12:17:07.323|08/09/2015 12:39:38.674|09/09/2015 11:18:10.543|10/09/2015 05:26:56.251
rating|TriggerEvent|TriggerEventID|162|0|251|257|267|304|309|366|396
rating|TriggerEvent|TableID|162|0|67685|236476|248135|251797|256716|256753|257178
rating|TriggerEvent|TableName|1|0|MSOwner||||||
rating|TriggerEvent|TriggerConfID|1|0|MSOwner||||||
rating|TriggerEvent|StatusCode|2|0|6|9|||||
rating|TriggerEvent|Reason|2|0||Not necessary|||||
rating|TriggerEvent|Qty|1|0|0||||||
rating|TriggerEvent|KeyValue|162|0|1ÿ0123013260ÿ20170110.51269|1ÿ0123023576ÿ20170110.51305|1ÿ0123080351ÿ20170110.86399|1ÿ0123091213ÿ20170118.48791|1ÿ0124009692ÿ20161231.86399|1ÿ0124034681ÿ20161231.86399|1ÿ0124043015ÿ20170117.30084
rating|TriggerField|TableName|1|0|MsOwner||||||
rating|TriggerField|TriggerConfID|1|0|MSOWNER||||||
rating|TriggerField|FieldName|2|0|TsBegin|TsEnd|||||
rating|TriggerItem|Handled|0|0|||||||
rating|TriggerItem|Created|0|0|||||||
rating|TriggerItem|CLI|0|0|||||||
rating|TriggerItem|Activated|0|0|||||||
rating|TriggerItem|InvCust|0|0|||||||
rating|TriggerItem|Period|0|0|||||||
rating|TriggerItem|TriggerEventID|0|0|||||||
rating|TriggerItem|TriggerConfID|0|0|||||||
rating|TriggerItem|StatusCode|0|0|||||||
